Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Age,Item_Outlet_Sales
FDG02,7.855,0,0.011278673000000001,3,188.8188,OUT049,1,0,1,14,2181.2889135750365
FDA09,13.35,1,0.137004557,13,179.666,OUT013,0,2,1,26,2181.2889135750365
FDT04,17.25,0,0.10695266099999999,5,38.3822,OUT013,0,2,1,26,2181.2889135750365
FDL58,12.684255639097788,1,0.129825457,13,263.2568,OUT019,2,0,0,28,2181.2889135750365
FDE52,10.395,1,0.029947408999999998,4,90.1514,OUT045,2,1,1,11,2181.2889135750365
FDW12,8.315,1,0.035565457,0,144.8444,OUT035,2,1,1,9,2181.2889135750365
FDL51,20.7,1,0.047760002,4,214.9876,OUT017,1,1,1,6,2181.2889135750365
NCY42,13.270503802281391,0,0.015089146999999999,9,141.347,OUT027,1,2,3,28,2181.2889135750365
FDR07,21.35,0,0.07818366,6,96.8094,OUT017,2,1,1,6,2181.2889135750365
FDN40,5.88,0,0.086632125,5,152.6998,OUT045,1,1,1,11,2181.2889135750365
FDB35,13.618247422680403,1,0.064306056,15,90.3804,OUT027,1,2,3,28,2181.2889135750365
FDA22,7.435,0,0.08493006,15,165.8158,OUT017,2,1,1,6,2181.2889135750365
NCL06,14.65,0,0.072066634,9,262.5594,OUT046,2,0,1,16,2181.2889135750365
FDI35,14.0,0,0.041256807,15,181.2634,OUT013,0,2,1,26,2181.2889135750365
NCW42,18.2,0,0.058587558,9,221.6456,OUT045,1,1,1,11,2181.2889135750365
NCX06,17.6,0,0.015711434,9,180.0976,OUT049,1,0,1,14,2181.2889135750365
FDC37,12.272417582417582,0,0.032714163,0,108.1938,OUT027,1,2,3,28,2181.2889135750365
FDZ14,7.71,1,0.047782552,4,122.3756,OUT018,1,2,2,4,2181.2889135750365
DRG49,7.81,0,0.067560171,14,245.2486,OUT049,1,0,1,14,2181.2889135750365
NCG06,16.35,0,0.029505077,9,256.2646,OUT045,2,1,1,11,2181.2889135750365
DRC36,13.0,1,0.045076104000000006,14,173.7054,OUT045,1,1,1,11,2181.2889135750365
FDV21,12.684255639097788,0,0.29954415300000004,13,124.8704,OUT019,2,0,0,28,2181.2889135750365
FDB53,13.35,0,0.139452413,5,148.6392,OUT046,2,0,1,16,2181.2889135750365
DRP47,11.844416666666666,0,0.24617825699999998,7,252.4382,OUT019,2,0,0,28,2181.2889135750365
FDA14,16.1,0,0.065128984,4,145.17600000000002,OUT013,0,2,1,26,2181.2889135750365
DRC24,17.85,0,0.024816585,14,152.6998,OUT035,2,1,1,9,2181.2889135750365
FDW21,5.34,1,0.005988175,13,100.6358,OUT018,1,2,2,4,2181.2889135750365
NCH29,5.51,0,0.034473804,8,97.3726,OUT046,2,0,1,16,2181.2889135750365
FDU58,6.61,1,0.028987582,13,188.6898,OUT013,0,2,1,26,2181.2889135750365
FDY27,6.38,0,0.032078604,4,177.6344,OUT017,2,1,1,6,2181.2889135750365
FDV56,16.1,1,0.013593151000000001,6,108.9596,OUT035,2,1,1,9,2181.2889135750365
FDT59,13.65,0,0.015911432,1,230.5668,OUT046,2,0,1,16,2181.2889135750365
FDB23,19.2,1,0.0055886009999999995,15,225.5062,OUT046,2,0,1,16,2181.2889135750365
FDR49,8.71,0,0.139510771,3,46.2376,OUT045,1,1,1,11,2181.2889135750365
FDB03,17.75,1,0.262504325,4,242.2538,OUT010,2,2,0,15,2181.2889135750365
FDN39,19.35,1,0.021929096999999998,10,165.7816,OUT045,2,1,1,11,2181.2889135750365
FDX02,12.955040000000011,0,0.056783774,4,223.1404,OUT027,1,2,3,28,2181.2889135750365
FDQ16,12.10154266958426,0,0.041536279,5,107.7912,OUT027,1,2,3,28,2181.2889135750365
FDU35,6.44,0,0.079538056,1,99.47,OUT018,1,2,2,4,2181.2889135750365
NCT29,12.6,0,0.064057374,8,122.1414,OUT013,0,2,1,26,2181.2889135750365
FDZ27,7.935,0,0.017156262,4,48.135,OUT046,2,0,1,16,2181.2889135750365
FDN57,18.25,0,0.054540967999999995,13,140.4154,OUT017,1,1,1,6,2181.2889135750365
FDA03,18.5,1,0.045648972999999995,4,145.6102,OUT018,1,2,2,4,2181.2889135750365
FDZ36,6.035,1,0.065917194,0,185.72400000000002,OUT045,2,1,1,11,2181.2889135750365
NCU05,11.8,0,0.058687359,8,81.1618,OUT013,0,2,1,26,2181.2889135750365
FDT39,6.26,1,0.009908113,10,151.1366,OUT018,1,2,2,4,2181.2889135750365
FDK60,16.5,1,0.094395215,0,97.2068,OUT017,1,1,1,6,2181.2889135750365
FDZ25,15.7,1,0.02777326,3,169.27900000000002,OUT017,2,1,1,6,2181.2889135750365
FDG12,6.635,1,0.006326106,0,122.1098,OUT046,2,0,1,16,2181.2889135750365
DRB01,11.69196506550218,0,0.143990546,14,191.553,OUT019,2,0,0,28,2181.2889135750365
NCC43,13.270503802281391,0,0.09233359,9,250.6066,OUT027,1,2,3,28,2181.2889135750365
FDX13,12.39356545961002,0,0.083661793,3,248.6092,OUT019,2,0,0,28,2181.2889135750365
FDM22,14.0,1,0.042022999000000005,13,53.06399999999999,OUT049,1,0,1,14,2181.2889135750365
FDJ03,12.955040000000011,1,0.072044336,4,48.8692,OUT027,1,2,3,28,2181.2889135750365
FDU14,17.75,0,0.026119907250000005,4,249.775,OUT018,1,2,2,4,2181.2889135750365
FDB33,17.75,0,0.024404214,6,159.0262,OUT010,2,2,0,15,2181.2889135750365
FDP27,8.155,0,0.119450639,10,190.653,OUT046,2,0,1,16,2181.2889135750365
FDO38,17.25,0,0.121917641,3,76.6986,OUT010,2,2,0,15,2181.2889135750365
FDE28,12.10154266958426,1,0.131905128,5,232.0668,OUT027,1,2,3,28,2181.2889135750365
FDO27,6.175,1,0.179043614,10,95.3752,OUT035,2,1,1,9,2181.2889135750365
DRL23,11.844416666666666,0,0.015230200000000003,7,107.0938,OUT027,1,2,3,28,2181.2889135750365
FDS28,8.18,1,0.082401592,5,55.9588,OUT046,2,0,1,16,2181.2889135750365
FDX24,8.355,0,0.013917468,0,92.5462,OUT013,0,2,1,26,2181.2889135750365
FDZ02,6.905,1,0.038140213,4,96.3726,OUT035,2,1,1,9,2181.2889135750365
FDL46,20.35,0,0.054166556,13,116.9466,OUT045,1,1,1,11,2181.2889135750365
FDS60,12.272417582417582,0,0.03229139,0,178.766,OUT027,1,2,3,28,2181.2889135750365
NCO06,19.25,0,0.108641498,9,33.0558,OUT017,2,1,1,6,2181.2889135750365
FDO16,5.48,0,0.015105338000000001,5,84.625,OUT035,2,1,1,9,2181.2889135750365
FDC60,5.425,1,0.114650377,0,87.3514,OUT049,1,0,1,14,2181.2889135750365
FDA48,12.1,0,0.11534200900000001,0,220.2114,OUT018,1,2,2,4,2181.2889135750365
FDZ36,12.272417582417582,1,0.0714181462,0,186.424,OUT027,1,2,3,28,2181.2889135750365
FDK27,11.0,0,0.00896468,10,120.6756,OUT045,1,1,1,11,2181.2889135750365
FDW23,5.765,0,0.082346376,0,38.8164,OUT018,1,2,2,4,2181.2889135750365
FDM14,13.8,0,0.013318,3,110.1254,OUT018,1,2,2,4,2181.2889135750365
FDM14,13.8,0,0.01325293,3,108.2254,OUT013,0,2,1,26,2181.2889135750365
FDW60,5.44,1,0.017131453,0,177.83700000000002,OUT018,1,2,2,4,2181.2889135750365
FDE21,12.8,0,0.022925594,6,116.4492,OUT013,0,2,1,26,2181.2889135750365
NCM42,6.13,0,0.028316137,9,109.3912,OUT035,2,1,1,9,2181.2889135750365
FDY59,8.195,0,0.052562923,0,93.9462,OUT010,2,2,0,15,2181.2889135750365
DRI49,14.15,0,0.18379260000000003,14,81.3276,OUT049,1,0,1,14,2181.2889135750365
FDT28,12.10154266958426,0,0.111296158,5,151.2708,OUT019,2,0,0,28,2181.2889135750365
FDQ22,16.75,0,0.029860799,13,39.5822,OUT018,1,2,2,4,2181.2889135750365
FDR60,14.3,0,0.130617879,0,76.5328,OUT049,1,0,1,14,2181.2889135750365
FDC50,12.39356545961002,0,0.238990225,3,94.7094,OUT019,2,0,0,28,2181.2889135750365
FDV24,5.635,0,0.103186396,0,151.805,OUT013,0,2,1,26,2181.2889135750365
DRF48,5.73,0,0.03888620075,14,188.3898,OUT010,2,2,0,15,2181.2889135750365
FDQ47,7.155,1,0.16818637600000003,1,36.5874,OUT046,2,0,1,16,2181.2889135750365
DRN36,15.2,0,0.050255855,14,97.3752,OUT049,1,0,1,14,2181.2889135750365
NCY06,15.25,0,0.061173235,9,128.5968,OUT035,2,1,1,9,2181.2889135750365
FDE52,10.395,1,0.029881147,4,89.5514,OUT035,2,1,1,9,2181.2889135750365
NCB54,8.76,0,0.05015421900000001,8,126.9336,OUT045,2,1,1,11,2181.2889135750365
NCF31,9.13,0,0.05183762099999999,9,152.6024,OUT035,2,1,1,9,2181.2889135750365
FDJ08,13.146658950617322,0,0.11013617,6,189.7846,OUT027,1,2,3,28,2181.2889135750365
NCC07,19.6,0,0.024086626,9,106.0964,OUT017,1,1,1,6,2181.2889135750365
NCD19,13.270503802281391,0,0.013115567,9,53.7614,OUT027,1,2,3,28,2181.2889135750365
FDL46,20.35,0,0.04960441933333334,13,118.9466,OUT049,1,0,1,14,2181.2889135750365
FDM20,10.0,0,0.038764257999999996,6,246.2144,OUT045,2,1,1,11,2181.2889135750365
NCI06,11.3,0,0.07986963,9,180.46599999999998,OUT010,2,2,0,15,2181.2889135750365
DRM11,6.57,0,0.066057085,7,259.3278,OUT035,2,1,1,9,2181.2889135750365
NCH07,13.15,0,0.093044518,9,158.4604,OUT018,1,2,2,4,2181.2889135750365
FDS23,4.635,0,0.140771867,1,129.4994,OUT013,0,2,1,26,2181.2889135750365
FDO49,10.6,1,0.033186809,2,49.1008,OUT018,1,2,2,4,2181.2889135750365
FDS35,9.3,0,0.11139344,1,65.2826,OUT049,1,0,1,14,2181.2889135750365
DRK39,7.02,0,0.049966527000000004,4,82.525,OUT045,1,1,1,11,2181.2889135750365
DRI39,13.8,0,0.09721299800000001,4,58.293,OUT049,1,0,1,14,2181.2889135750365
FDV04,7.825,1,0.150863781,5,158.0288,OUT017,2,1,1,6,2181.2889135750365
NCN14,19.1,0,0.09190040599999999,11,182.5608,OUT035,2,1,1,9,2181.2889135750365
FDH08,7.51,0,0.017414576,6,231.101,OUT013,0,2,1,26,2181.2889135750365
FDS20,8.85,0,0.053866912,6,183.0292,OUT046,2,0,1,16,2181.2889135750365
FDV40,17.35,0,0.014714625,5,75.4038,OUT049,1,0,1,14,2181.2889135750365
FDZ48,17.75,0,0.127140836,0,110.5544,OUT010,2,2,0,15,2181.2889135750365
FDS24,12.272417582417582,1,0.061923154,0,87.5514,OUT027,1,2,3,28,2181.2889135750365
FDK44,16.6,0,0.122417514,6,174.3738,OUT049,1,0,1,14,2181.2889135750365
FDS48,15.15,0,0.0139572,0,150.4708,OUT045,1,1,1,11,2181.2889135750365
FDK26,5.46,1,0.053858378,3,186.924,OUT010,2,2,0,15,2181.2889135750365
FDD23,9.5,1,0.048784266,15,188.5898,OUT045,2,1,1,11,2181.2889135750365
NCH54,13.5,0,0.073080167,9,161.49200000000002,OUT017,1,1,1,6,2181.2889135750365
NCP14,8.275,0,0.184602443,9,106.5306,OUT010,2,2,0,15,2181.2889135750365
FDM60,10.8,1,0.080582001,0,39.4138,OUT010,2,2,0,15,2181.2889135750365
FDV24,5.635,0,0.103856487,0,151.305,OUT017,2,1,1,6,2181.2889135750365
FDH08,7.51,0,0.017500078999999998,6,228.801,OUT018,1,2,2,4,2181.2889135750365
FDS12,12.272417582417582,0,0.173275373,0,127.6362,OUT027,1,2,3,28,2181.2889135750365
FDR39,12.702148148148146,0,0.08339348099999999,10,180.6292,OUT027,1,2,3,28,2181.2889135750365
FDP12,12.272417582417582,1,0.0450476,0,36.4874,OUT027,1,2,3,28,2181.2889135750365
DRF60,11.69196506550218,0,0.051816577,14,236.4564,OUT027,1,2,3,28,2181.2889135750365
FDC09,15.5,1,0.026297031000000002,6,102.7332,OUT035,2,1,1,9,2181.2889135750365
FDF50,4.905,0,0.117808305,3,198.5768,OUT018,1,2,2,4,2181.2889135750365
FDG28,9.285,1,0.049270974,5,243.9144,OUT035,2,1,1,9,2181.2889135750365
NCE19,8.97,0,0.093540749,9,55.4956,OUT017,1,1,1,6,2181.2889135750365
NCM53,18.75,0,0.08710582300000001,8,108.228,OUT010,2,2,0,15,2181.2889135750365
NCN18,8.895,0,0.083378259,9,110.9544,OUT049,1,0,1,14,2181.2889135750365
FDF32,16.35,0,0.068068082,6,199.1426,OUT035,2,1,1,9,2181.2889135750365
FDF11,10.195,1,0.01761655,15,239.4538,OUT013,0,2,1,26,2181.2889135750365
DRI59,9.5,0,0.040898157000000004,7,225.2088,OUT049,1,0,1,14,2181.2889135750365
NCG54,12.1,0,0.07979117599999999,9,169.5106,OUT035,2,1,1,9,2181.2889135750365
FDM44,12.5,0,0.031049674,6,101.399,OUT046,2,0,1,16,2181.2889135750365
FDT57,15.2,0,0.019112323,13,236.2248,OUT018,1,2,2,4,2181.2889135750365
FDV24,5.635,0,0.10327233599999999,0,151.205,OUT046,2,0,1,16,2181.2889135750365
FDI50,12.39356545961002,1,0.054001525999999994,3,227.8352,OUT019,2,0,0,28,2181.2889135750365
FDS09,8.895,1,0.081073148,13,51.2008,OUT035,2,1,1,9,2181.2889135750365
NCC31,13.270503802281391,0,0.019774239,9,154.5972,OUT027,1,2,3,28,2181.2889135750365
FDQ07,13.146658950617322,1,0.153038134,6,219.0456,OUT019,2,0,0,28,2181.2889135750365
FDC22,6.89,1,0.13720009,13,191.882,OUT017,2,1,1,6,2181.2889135750365
FDZ56,16.25,0,0.02573698,6,169.3474,OUT046,2,0,1,16,2181.2889135750365
FDZ40,12.10154266958426,0,0.07035480599999999,5,53.9298,OUT019,2,0,0,28,2181.2889135750365
FDS46,12.684255639097788,1,0.047028482999999996,13,118.3782,OUT027,1,2,3,28,2181.2889135750365
DRD24,13.85,0,0.030857537999999997,14,140.6154,OUT045,1,1,1,11,2181.2889135750365
FDV45,16.75,0,0.045302246,13,189.1556,OUT017,2,1,1,6,2181.2889135750365
FDL26,18.0,0,0.073341257,3,155.7972,OUT045,1,1,1,11,2181.2889135750365
FDA56,9.21,0,0.00880049,6,123.0414,OUT018,1,2,2,4,2181.2889135750365
FDN27,20.85,0,0.039562497,10,118.1808,OUT046,2,0,1,16,2181.2889135750365
FDM20,10.0,0,0.038745947999999995,6,245.0144,OUT049,1,0,1,14,2181.2889135750365
FDO16,5.48,0,0.015193653,5,82.825,OUT017,2,1,1,6,2181.2889135750365
FDL03,19.25,1,0.027075481000000002,10,195.611,OUT035,2,1,1,9,2181.2889135750365
FDE58,18.5,0,0.052068722000000005,13,117.0124,OUT046,2,0,1,16,2181.2889135750365
FDI02,12.39356545961002,1,0.11401030599999999,3,112.2202,OUT027,1,2,3,28,2181.2889135750365
NCC55,13.270503802281391,0,0.111641021,9,38.8848,OUT019,2,0,0,28,2181.2889135750365
FDR03,15.7,1,0.008771522,10,205.798,OUT018,1,2,2,4,2181.2889135750365
FDB14,20.25,1,0.10330496800000001,3,92.61200000000001,OUT017,1,1,1,6,2181.2889135750365
FDR45,10.8,0,0.028919202999999997,13,240.9222,OUT013,0,2,1,26,2181.2889135750365
NCN07,18.5,0,0.034136703,11,130.0284,OUT017,2,1,1,6,2181.2889135750365
FDM51,12.702148148148146,1,0.045393469000000006,10,102.2674,OUT019,2,0,0,28,2181.2889135750365
FDT52,12.10154266958426,1,0.047199898,5,244.9144,OUT027,1,2,3,28,2181.2889135750365
FDL26,18.0,0,0.07319282,3,154.2972,OUT046,2,0,1,16,2181.2889135750365
NCZ42,10.5,0,0.011287928999999999,9,238.9248,OUT046,2,0,1,16,2181.2889135750365
DRI47,11.844416666666666,0,0.036628533,7,145.6128,OUT019,2,0,0,28,2181.2889135750365
FDW40,14.0,1,0.105057952,5,141.1812,OUT013,0,2,1,26,2181.2889135750365
FDN34,15.6,1,0.030602574333333337,13,169.2132,OUT046,2,0,1,16,2181.2889135750365
FDS01,11.6,0,0.017741643999999997,3,178.3686,OUT035,2,1,1,9,2181.2889135750365
NCG55,16.25,0,0.039225552999999996,9,116.2176,OUT045,1,1,1,11,2181.2889135750365
FDC11,20.5,0,0.14176602900000002,15,87.4172,OUT035,2,1,1,9,2181.2889135750365
FDX35,5.035,1,0.08023606400000001,1,226.4036,OUT018,1,2,2,4,2181.2889135750365
NCB06,17.6,0,0.082332074,8,160.392,OUT046,2,0,1,16,2181.2889135750365
FDR09,12.684255639097788,0,0.136085739,13,259.8962,OUT019,2,0,0,28,2181.2889135750365
FDC53,8.68,0,0.008885671999999999,5,96.9384,OUT017,2,1,1,6,2181.2889135750365
FDY45,17.5,0,0.023299551,13,255.2356,OUT013,0,2,1,26,2181.2889135750365
FDA22,7.435,0,0.14135594099999998,15,168.5158,OUT010,2,2,0,15,2181.2889135750365
FDE02,8.71,0,0.12122744699999999,3,95.2778,OUT035,2,1,1,9,2181.2889135750365
FDW21,5.34,1,0.005975976,13,100.8358,OUT045,1,1,1,11,2181.2889135750365
FDV34,10.695,1,0.011425458000000001,13,73.6038,OUT046,2,0,1,16,2181.2889135750365
FDS59,14.8,1,0.043961689000000005,1,109.15700000000001,OUT049,1,0,1,14,2181.2889135750365
NCW17,18.0,0,0.01949589,8,127.8994,OUT017,2,1,1,6,2181.2889135750365
NCK54,12.15,0,0.029523375,9,117.215,OUT046,2,0,1,16,2181.2889135750365
FDG17,12.10154266958426,1,0.062751586,5,244.2486,OUT019,2,0,0,28,2181.2889135750365
FDG35,21.2,1,0.005282506750000001,15,173.0738,OUT017,1,1,1,6,2181.2889135750365
FDD08,8.3,0,0.059175952999999996,6,37.8506,OUT010,2,2,0,15,2181.2889135750365
NCO07,9.06,0,0.009831566,11,211.15599999999998,OUT017,2,1,1,6,2181.2889135750365
FDJ10,5.095,1,0.21676258399999998,13,142.2838,OUT010,2,2,0,15,2181.2889135750365
FDW36,11.15,0,0.057254675,0,104.0622,OUT017,1,1,1,6,2181.2889135750365
FDW21,5.34,1,0.004484326,13,101.0358,OUT010,2,2,0,15,2181.2889135750365
FDY19,19.75,0,0.041598912,6,118.0466,OUT017,2,1,1,6,2181.2889135750365
DRE03,19.6,0,0.024206741,4,47.0718,OUT013,0,2,1,26,2181.2889135750365
NCC55,10.695,0,0.063862271,9,38.1848,OUT049,1,0,1,14,2181.2889135750365
FDH52,9.42,1,0.073484791,5,63.6194,OUT010,2,2,0,15,2181.2889135750365
FDO09,13.5,1,0.125983278,13,264.691,OUT017,1,1,1,6,2181.2889135750365
FDU43,19.35,1,0.058161092000000005,6,239.4564,OUT045,2,1,1,11,2181.2889135750365
FDX09,9.0,0,0.10921389999999999,13,175.037,OUT010,2,2,0,15,2181.2889135750365
FDH40,12.10154266958426,1,0.138195491,5,83.1276,OUT019,2,0,0,28,2181.2889135750365
FDW58,20.75,0,0.007595816,13,104.4622,OUT017,1,1,1,6,2181.2889135750365
FDC47,15.0,0,0.11956313,13,227.2694,OUT017,2,1,1,6,2181.2889135750365
NCR41,17.85,0,0.018020588,8,94.4094,OUT035,2,1,1,9,2181.2889135750365
DRG49,7.81,0,0.067442541,14,244.7486,OUT035,2,1,1,9,2181.2889135750365
FDC52,12.955040000000011,1,0.008239804,4,152.2708,OUT027,1,2,3,28,2181.2889135750365
FDY13,12.1,0,0.030127406000000002,3,74.567,OUT046,2,0,1,16,2181.2889135750365
FDY35,17.6,1,0.016014343,1,44.0402,OUT013,0,2,1,26,2181.2889135750365
FDI35,14.0,0,0.041524728999999996,15,181.7634,OUT017,1,1,1,6,2181.2889135750365
NCU18,15.1,0,0.055926872,9,141.4496,OUT049,1,0,1,14,2181.2889135750365
FDY33,14.5,1,0.097597084,13,158.5262,OUT018,1,2,2,4,2181.2889135750365
FDC15,12.955040000000011,0,0.177107232,4,157.5288,OUT027,1,2,3,28,2181.2889135750365
FDU01,20.25,1,0.004800977400000001,3,186.4924,OUT049,1,0,1,14,2181.2889135750365
NCU42,9.0,0,0.019506654,9,169.5474,OUT046,2,0,1,16,2181.2889135750365
NCV29,11.8,0,0.022936556,8,177.6686,OUT018,1,2,2,4,2181.2889135750365
NCY30,20.25,0,0.02610006,9,182.8976,OUT017,2,1,1,6,2181.2889135750365
FDQ46,7.51,0,0.10397443099999999,13,112.1544,OUT049,1,0,1,14,2181.2889135750365
FDG58,12.684255639097788,1,0.086360962,13,153.7972,OUT027,1,2,3,28,2181.2889135750365
FDK33,17.85,0,0.011298801,13,213.25599999999997,OUT017,1,1,1,6,2181.2889135750365
NCD07,9.1,0,0.055541152999999996,9,115.6518,OUT045,2,1,1,11,2181.2889135750365
NCX29,13.216928571428557,0,0.088720803,8,144.4102,OUT027,1,2,3,28,2181.2889135750365
NCT42,5.88,0,0.024866608999999998,9,148.3392,OUT013,0,2,1,26,2181.2889135750365
DRN59,15.0,0,0.064129493,7,45.906000000000006,OUT035,2,1,1,9,2181.2889135750365
FDI44,16.1,0,0.10021391699999999,6,79.0328,OUT035,2,1,1,9,2181.2889135750365
FDA45,21.25,0,0.15562125400000001,13,178.237,OUT049,1,0,1,14,2181.2889135750365
FDP31,21.1,1,0.161832494,6,65.7168,OUT045,1,1,1,11,2181.2889135750365
FDY01,11.8,1,0.17028349199999998,3,115.1834,OUT046,2,0,1,16,2181.2889135750365
FDT09,15.15,1,0.012313256000000002,13,132.8284,OUT018,1,2,2,4,2181.2889135750365
DRH03,12.955040000000011,0,0.026358306249999998,4,94.81200000000001,OUT027,1,2,3,28,2181.2889135750365
FDA36,5.985,0,0.005689466,0,186.6924,OUT018,1,2,2,4,2181.2889135750365
NCF31,9.13,0,0.052140695,9,153.4024,OUT017,2,1,1,6,2181.2889135750365
FDG14,9.0,1,0.050579228,3,151.3024,OUT049,1,0,1,14,2181.2889135750365
FDG28,12.10154266958426,1,0.04904165,5,245.5144,OUT027,1,2,3,28,2181.2889135750365
FDU14,17.75,0,0.034806679,4,250.175,OUT049,1,0,1,14,2181.2889135750365
FDY47,10.866798561151075,1,0.09539525800000001,1,131.131,OUT019,2,0,0,28,2181.2889135750365
FDI56,7.325,0,0.09353057099999999,6,90.4146,OUT049,1,0,1,14,2181.2889135750365
